Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Submitters,Collection_Date
AP019025.1,SAMD00141496,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN102_PBMC DNA, nearly complete genome",168617,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019026.1,SAMD00141497,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN104_PBMC DNA, nearly complete genome",167845,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019027.1,SAMD00141498,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN105_PBMC DNA, nearly complete genome",170220,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019028.1,SAMD00141499,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN105_tumor DNA, complete genome",171362,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019029.1,SAMD00141500,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN106_PBMC DNA, nearly complete genome",169308,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019030.1,SAMD00141501,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN107_PBMC DNA, nearly complete genome",171375,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019031.1,SAMD00141502,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN108_PBMC DNA, nearly complete genome",126416,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019032.1,SAMD00141503,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN108_tumor DNA, nearly complete genome",168543,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019033.1,SAMD00141504,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN109_PBMC DNA, nearly complete genome",167903,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019034.1,SAMD00141505,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN110_PBMC DNA, nearly complete genome",168419,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019035.1,SAMD00141506,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN1101_PBMC DNA, nearly complete genome",169484,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019036.1,SAMD00141507,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN1102_PBMC DNA, nearly complete genome",169847,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019037.1,SAMD00141508,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN1104_PBMC DNA, nearly complete genome",169372,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019038.1,SAMD00141509,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN1106_PBMC DNA, nearly complete genome",158218,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019039.1,SAMD00141510,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN111_PBMC DNA, nearly complete genome",170192,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019040.1,SAMD00141511,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN1110_PBMC DNA, complete genome",171417,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019041.1,SAMD00141512,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN1111_PBMC DNA, nearly complete genome",167306,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019042.1,SAMD00141513,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN1113_PBMC DNA, nearly complete genome",169217,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019043.1,SAMD00141514,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN1119_PBMC DNA, nearly complete genome",164249,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019044.1,SAMD00141515,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN112_PBMC DNA, nearly complete genome",170338,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019045.1,SAMD00141516,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN1120_PBMC DNA, nearly complete genome",149013,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019046.1,SAMD00141517,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN1124_PBMC DNA, nearly complete genome",148161,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019047.1,SAMD00141518,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN113_PBMC DNA, nearly complete genome",169123,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019048.1,SAMD00141519,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN114_PBMC DNA, nearly complete genome",169343,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019049.1,SAMD00141520,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN114_tumor DNA, nearly complete genome",170177,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019050.1,SAMD00141521,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN12_PBMC DNA, nearly complete genome",167797,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019051.1,SAMD00141522,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN1201_PBMC DNA, nearly complete genome",171309,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019052.1,SAMD00141523,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN1202_PBMC DNA, nearly complete genome",170138,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019053.1,SAMD00141524,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN123_tumor DNA, nearly complete genome",168495,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019054.1,SAMD00141525,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN125_PBMC DNA, nearly complete genome",169060,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019055.1,SAMD00141526,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN128_PBMC DNA, nearly complete genome",161200,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019056.1,SAMD00141527,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN128_tumor DNA, nearly complete genome",161660,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019057.1,SAMD00141528,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN13_PBMC DNA, nearly complete genome",158384,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
AP019058.1,SAMD00141529,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 UPN130_PBMC DNA, nearly complete genome",160114,complete,Japan,Japan,Homo sapiens,"Okuno,Y., Murata,T., Sato,Y., Muramatsu,H., Ito,Y., Watanabe,T., Okuno,T., Murakami,N., Yoshida,K., Sawada,A., Inoue,M., Kawa,K., Seto,M., Ohshima,K., Shiraishi,Y., Chiba,K., Tanaka,H., Miyano,S., Narita,Y., Yoshida,M., Goshima,F., Kawada,J.I., Nishida,T., Kiyoi,H., Kato,S., Nakamura,S., Morishima,S., Yoshikawa,T., Fujiwara,S., Shimizu,N., Isobe,Y., Noguchi,M., Kikuta,A., Iwatsuki,K., Takahashi,Y., Kojima,S., Ogawa,S., Kimura,H.",2013
