Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date,Component,Isolate_Clean,Isolate_Pair_Core,Pair_Key
NC_001467.1,,Begomovirus manihotis,Begomovirus manihotis,West Kenyan 844,DNA A,"African cassava mosaic virus isolate West Kenyan 844 segment DNA1, complete sequence",2779,complete,,,Manihot esculenta,,A,west kenyan 844,west kenyan 844, || begomovirus manihotis || begomovirus manihotis || complete ||  ||  || manihot esculenta ||  || west kenyan 844
KJ887590.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF27BE:07,B,"African cassava mosaic virus isolate CF:CF27BE:07 segment B, complete sequence",2727,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-10,B,cf:cf27be:07,cf:cf27be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-10 || cf:cf27be:07
KJ887591.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF29BE:07,B,"African cassava mosaic virus isolate CF:CF29BE:07 segment B, complete sequence",2727,complete,Central African Republic,Central African Republic,Manihot esculenta,2000-10,B,cf:cf29be:07,cf:cf29be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2000-10 || cf:cf29be:07
KJ887592.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF29BN:07,B,"African cassava mosaic virus isolate CF:CF29BN:07 segment B, complete sequence",2727,complete,Central African Republic,Central African Republic,Manihot esculenta,2000-10,B,cf:cf29bn:07,cf:cf29bn:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2000-10 || cf:cf29bn:07
KJ887593.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF30BE:07,B,"African cassava mosaic virus isolate CF:CF30BE:07 segment B, complete sequence",2722,complete,Central African Republic,Central African Republic,Manihot esculenta,2000-10,B,cf:cf30be:07,cf:cf30be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2000-10 || cf:cf30be:07
KJ887594.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF33BE:07,B,"African cassava mosaic virus isolate CF:CF33BE:07 segment B, complete sequence",2728,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-13,B,cf:cf33be:07,cf:cf33be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-13 || cf:cf33be:07
KJ887595.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF37BE:07,B,"African cassava mosaic virus isolate CF:CF37BE:07 segment B, complete sequence",2723,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-13,B,cf:cf37be:07,cf:cf37be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-13 || cf:cf37be:07
KJ887596.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF39BE:07,B,"African cassava mosaic virus isolate CF:CF39BE:07 segment B, complete sequence",2725,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-13,B,cf:cf39be:07,cf:cf39be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-13 || cf:cf39be:07
KJ887597.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF41BE:07,B,"African cassava mosaic virus isolate CF:CF41BE:07 segment B, complete sequence",2725,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-13,B,cf:cf41be:07,cf:cf41be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-13 || cf:cf41be:07
KJ887598.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF46BE:07,B,"African cassava mosaic virus isolate CF:CF46BE:07 segment B, complete sequence",2727,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-13,B,cf:cf46be:07,cf:cf46be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-13 || cf:cf46be:07
KJ887599.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF52BE:07,B,"African cassava mosaic virus isolate CF:CF52BE:07 segment B, complete sequence",2727,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-14,B,cf:cf52be:07,cf:cf52be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-14 || cf:cf52be:07
KJ887600.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF54BE:07,B,"African cassava mosaic virus isolate CF:CF54BE:07 segment B, complete sequence",2728,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-14,B,cf:cf54be:07,cf:cf54be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-14 || cf:cf54be:07
KJ887601.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF59BE:07,B,"African cassava mosaic virus isolate CF:CF59BE:07 segment B, complete sequence",2719,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-14,B,cf:cf59be:07,cf:cf59be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-14 || cf:cf59be:07
KJ887602.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF63BN1:07,B,"African cassava mosaic virus isolate CF:CF63BN1:07 segment B, complete sequence",2728,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-16,B,cf:cf63bn1:07,cf:cf63bn1:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-16 || cf:cf63bn1:07
KJ887603.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF63BN2:07,B,"African cassava mosaic virus isolate CF:CF63BN2:07 segment B, complete sequence",2728,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-16,B,cf:cf63bn2:07,cf:cf63bn2:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-16 || cf:cf63bn2:07
KJ887604.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF64BE:07,B,"African cassava mosaic virus isolate CF:CF64BE:07 segment B, complete sequence",2725,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-16,B,cf:cf64be:07,cf:cf64be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-16 || cf:cf64be:07
KJ887605.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF74BE:07,B,"African cassava mosaic virus isolate CF:CF74BE:07 segment B, complete sequence",2728,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-18,B,cf:cf74be:07,cf:cf74be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-18 || cf:cf74be:07
KJ887606.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF75BE:07,B,"African cassava mosaic virus isolate CF:CF75BE:07 segment B, complete sequence",2727,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-18,B,cf:cf75be:07,cf:cf75be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-18 || cf:cf75be:07
KJ887607.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF78BN:07,B,"African cassava mosaic virus isolate CF:CF78BN:07 segment B, complete sequence",2727,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-19,B,cf:cf78bn:07,cf:cf78bn:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-19 || cf:cf78bn:07
KJ887608.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF79BE:07,B,"African cassava mosaic virus isolate CF:CF79BE:07 segment B, complete sequence",2733,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-19,B,cf:cf79be:07,cf:cf79be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-19 || cf:cf79be:07
KJ887609.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF84BN:07,B,"African cassava mosaic virus isolate CF:CF84BN:07 segment B, complete sequence",2722,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-20,B,cf:cf84bn:07,cf:cf84bn:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-20 || cf:cf84bn:07
KJ887610.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF87BE:07,B,"African cassava mosaic virus isolate CF:CF87BE:07 segment B, complete sequence",2741,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-20,B,cf:cf87be:07,cf:cf87be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-20 || cf:cf87be:07
KJ887611.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF92BE:07,B,"African cassava mosaic virus isolate CF:CF92BE:07 segment B, complete sequence",2744,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-21,B,cf:cf92be:07,cf:cf92be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-21 || cf:cf92be:07
KJ887612.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF96BN:07,B,"African cassava mosaic virus isolate CF:CF96BN:07 segment B, complete sequence",2741,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-21,B,cf:cf96bn:07,cf:cf96bn:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-21 || cf:cf96bn:07
KJ887613.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF100BE:07,B,"African cassava mosaic virus isolate CF:CF100BE:07 segment B, complete sequence",2730,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-24,B,cf:cf100be:07,cf:cf100be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-24 || cf:cf100be:07
KJ887614.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF104BE:07,B,"African cassava mosaic virus isolate CF:CF104BE:07 segment B, complete sequence",2729,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-25,B,cf:cf104be:07,cf:cf104be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-25 || cf:cf104be:07
KJ887615.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF107BE:07,B,"African cassava mosaic virus isolate CF:CF107BE:07 segment B, complete sequence",2730,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-25,B,cf:cf107be:07,cf:cf107be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-25 || cf:cf107be:07
KJ887616.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF108BE:07,B,"African cassava mosaic virus isolate CF:CF108BE:07 segment B, complete sequence",2727,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-25,B,cf:cf108be:07,cf:cf108be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-25 || cf:cf108be:07
KJ887617.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF116BE:07,B,"African cassava mosaic virus isolate CF:CF116BE:07 segment B, complete sequence",2723,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-26,B,cf:cf116be:07,cf:cf116be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-26 || cf:cf116be:07
KJ887618.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF121BE:07,B,"African cassava mosaic virus isolate CF:CF121BE:07 segment B, complete sequence",2725,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-26,B,cf:cf121be:07,cf:cf121be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-26 || cf:cf121be:07
KJ887619.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF127BE:07,B,"African cassava mosaic virus isolate CF:CF127BE:07 segment B, complete sequence",2730,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-26,B,cf:cf127be:07,cf:cf127be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-26 || cf:cf127be:07
KJ887620.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF127BN:07,B,"African cassava mosaic virus isolate CF:CF127BN:07 segment B, complete sequence",2729,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-26,B,cf:cf127bn:07,cf:cf127bn:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-26 || cf:cf127bn:07
KJ887621.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF133BE:07,B,"African cassava mosaic virus isolate CF:CF133BE:07 segment B, complete sequence",2728,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-27,B,cf:cf133be:07,cf:cf133be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-27 || cf:cf133be:07
KJ887622.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF137BE:07,B,"African cassava mosaic virus isolate CF:CF137BE:07 segment B, complete sequence",2731,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-28,B,cf:cf137be:07,cf:cf137be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-28 || cf:cf137be:07
KJ887623.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF145BE:07,B,"African cassava mosaic virus isolate CF:CF145BE:07 segment B, complete sequence",2727,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-29,B,cf:cf145be:07,cf:cf145be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-29 || cf:cf145be:07
KJ887624.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF247BE:07,B,"African cassava mosaic virus isolate CF:CF247BE:07 segment B, complete sequence",2728,complete,Central African Republic,Central African Republic,Manihot esculenta,2007,B,cf:cf247be:07,cf:cf247be:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007 || cf:cf247be:07
KJ887625.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF268BN:08,B,"African cassava mosaic virus isolate CF:CF268BN:08 segment B, complete sequence",2727,complete,Central African Republic,Central African Republic,Manihot esculenta,2008,B,cf:cf268bn:08,cf:cf268bn:08, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2008 || cf:cf268bn:08
KJ887626.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF279BE:08,B,"African cassava mosaic virus isolate CF:CF279BE:08 segment B, complete sequence",2726,complete,Central African Republic,Central African Republic,Manihot esculenta,2008,B,cf:cf279be:08,cf:cf279be:08, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2008 || cf:cf279be:08
KJ887627.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF299BN:08,B,"African cassava mosaic virus isolate CF:CF299BN:08 segment B, complete sequence",2728,complete,Central African Republic,Central African Republic,Manihot esculenta,2008,B,cf:cf299bn:08,cf:cf299bn:08, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2008 || cf:cf299bn:08
KJ887628.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF316BE:08,B,"African cassava mosaic virus isolate CF:CF316BE:08 segment B, complete sequence",2731,complete,Central African Republic,Central African Republic,Manihot esculenta,2008,B,cf:cf316be:08,cf:cf316be:08, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2008 || cf:cf316be:08
KJ887629.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF345BE:08,B,"African cassava mosaic virus isolate CF:CF345BE:08 segment B, complete sequence",2727,complete,Central African Republic,Central African Republic,Manihot esculenta,2008,B,cf:cf345be:08,cf:cf345be:08, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2008 || cf:cf345be:08
KJ887630.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF356BE:08,B,"African cassava mosaic virus isolate CF:CF356BE:08 segment B, complete sequence",2727,complete,Central African Republic,Central African Republic,Manihot esculenta,2008,B,cf:cf356be:08,cf:cf356be:08, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2008 || cf:cf356be:08
KJ887631.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF361BN:07,B,"African cassava mosaic virus isolate CF:CF361BN:07 segment B, complete sequence",2726,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-13,B,cf:cf361bn:07,cf:cf361bn:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-13 || cf:cf361bn:07
KJ887632.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF362BN:07,B,"African cassava mosaic virus isolate CF:CF362BN:07 segment B, complete sequence",2727,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-13,B,cf:cf362bn:07,cf:cf362bn:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-13 || cf:cf362bn:07
KJ887634.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG3C2:05,B,"African cassava mosaic virus isolate MG:MG3C2:05 segment B, complete sequence",2743,complete,Madagascar,Madagascar,Manihot esculenta,2005-12-14,B,mg:mg3c2:05,mg:mg3c2:05, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2005-12-14 || mg:mg3c2:05
KJ887636.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG12B10:06,B,"African cassava mosaic virus isolate MG:MG12B10:06 segment B, complete sequence",2741,complete,Madagascar,Madagascar,Manihot esculenta,2006-03-31,B,mg:mg12b10:06,mg:mg12b10:06, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2006-03-31 || mg:mg12b10:06
KJ887637.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG13B10:06,B,"African cassava mosaic virus isolate MG:MG13B10:06 segment B, complete sequence",2735,complete,Madagascar,Madagascar,Manihot esculenta,2006-03-26,B,mg:mg13b10:06,mg:mg13b10:06, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2006-03-26 || mg:mg13b10:06
KJ887638.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG15B2:06,B,"African cassava mosaic virus isolate MG:MG15B2:06 segment B, complete sequence",2738,complete,Madagascar,Madagascar,Manihot esculenta,2006-04-06,B,mg:mg15b2:06,mg:mg15b2:06, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2006-04-06 || mg:mg15b2:06
KJ887651.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG53B13:06,B,"African cassava mosaic virus isolate MG:MG53B13:06 segment B, complete sequence",2721,complete,Madagascar,Madagascar,Manihot esculenta,2006-11-16,B,mg:mg53b13:06,mg:mg53b13:06, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2006-11-16 || mg:mg53b13:06
KJ887681.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG214B15:08,B,"African cassava mosaic virus isolate MG:MG214B15:08 segment B, complete sequence",2741,complete,Madagascar,Madagascar,Manihot esculenta,2008-05-09,B,mg:mg214b15:08,mg:mg214b15:08, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2008-05-09 || mg:mg214b15:08
KJ887692.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG312A5:10,B,"African cassava mosaic virus isolate MG:MG312A5:10 segment B, complete sequence",2740,complete,Madagascar,Madagascar,Manihot esculenta,2010-05-05,B,mg:mg312a5:10,mg:mg312a5:10, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2010-05-05 || mg:mg312a5:10
KJ887705.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG343B1:11,B,"African cassava mosaic virus isolate MG:MG343B1:11 segment B, complete sequence",2741,complete,Madagascar,Madagascar,Manihot esculenta,2011-05-23,B,mg:mg343b1:11,mg:mg343b1:11, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2011-05-23 || mg:mg343b1:11
KJ887706.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG343B6:11,B,"African cassava mosaic virus isolate MG:MG343B6:11 segment B, complete sequence",2740,complete,Madagascar,Madagascar,Manihot esculenta,2011-05-23,B,mg:mg343b6:11,mg:mg343b6:11, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2011-05-23 || mg:mg343b6:11
KJ887707.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG349B1:11,B,"African cassava mosaic virus isolate MG:MG349B1:11 segment B, complete sequence",2739,complete,Madagascar,Madagascar,Manihot esculenta,2011-05-23,B,mg:mg349b1:11,mg:mg349b1:11, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2011-05-23 || mg:mg349b1:11
KJ887710.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG379B1:11,B,"African cassava mosaic virus isolate MG:MG379B1:11 segment B, complete sequence",2742,complete,Madagascar,Madagascar,Manihot esculenta,2011-05-24,B,mg:mg379b1:11,mg:mg379b1:11, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2011-05-24 || mg:mg379b1:11
KJ887739.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG619B2:11,B,"African cassava mosaic virus isolate MG:MG619B2:11 segment B, complete sequence",2724,complete,Madagascar,Madagascar,Manihot esculenta,2011-07-03,B,mg:mg619b2:11,mg:mg619b2:11, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2011-07-03 || mg:mg619b2:11
KJ887741.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG624B3:11,B,"African cassava mosaic virus isolate MG:MG624B3:11 segment B, complete sequence",2738,complete,Madagascar,Madagascar,Manihot esculenta,2011-07-03,B,mg:mg624b3:11,mg:mg624b3:11, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2011-07-03 || mg:mg624b3:11
KJ887743.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG648B2:11,B,"African cassava mosaic virus isolate MG:MG648B2:11 segment B, complete sequence",2738,complete,Madagascar,Madagascar,Manihot esculenta,2011-07-04,B,mg:mg648b2:11,mg:mg648b2:11, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2011-07-04 || mg:mg648b2:11
KJ887744.1,,Begomovirus manihotis,Begomovirus manihotis,MG:MG688B1:11,B,"African cassava mosaic virus isolate MG:MG688B1:11 segment B, complete sequence",2738,complete,Madagascar,Madagascar,Manihot esculenta,2011-07-06,B,mg:mg688b1:11,mg:mg688b1:11, || begomovirus manihotis || begomovirus manihotis || complete || madagascar || madagascar || manihot esculenta || 2011-07-06 || mg:mg688b1:11
KJ887750.1,,Begomovirus manihotis,Begomovirus manihotis,TD:TD2BE:08,B,"African cassava mosaic virus isolate TD:TD2BE:08 segment B, complete sequence",2728,complete,Chad,Chad,Manihot esculenta,2008,B,td:td2be:08,td:td2be:08, || begomovirus manihotis || begomovirus manihotis || complete || chad || chad || manihot esculenta || 2008 || td:td2be:08
KJ887751.1,,Begomovirus manihotis,Begomovirus manihotis,TD:TD3B:08,B,"African cassava mosaic virus isolate TD:TD3B:08 segment B, complete sequence",2728,complete,Chad,Chad,Manihot esculenta,2008,B,td:td3b:08,td:td3b:08, || begomovirus manihotis || begomovirus manihotis || complete || chad || chad || manihot esculenta || 2008 || td:td3b:08
KJ887752.1,,Begomovirus manihotis,Begomovirus manihotis,TD:TD63BE:08,B,"African cassava mosaic virus isolate TD:TD63BE:08 segment B, complete sequence",2734,complete,Chad,Chad,Manihot esculenta,2008,B,td:td63be:08,td:td63be:08, || begomovirus manihotis || begomovirus manihotis || complete || chad || chad || manihot esculenta || 2008 || td:td63be:08
KJ887753.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF1AB:07,A,"African cassava mosaic virus isolate CF:CF1AB:07 segment A, complete sequence",2781,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-07,A,cf:cf1ab:07,cf:cf1ab:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-07 || cf:cf1ab:07
KJ887754.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF1AN:07,A,"African cassava mosaic virus isolate CF:CF1AN:07 segment A, complete sequence",2781,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-07,A,cf:cf1an:07,cf:cf1an:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-07 || cf:cf1an:07
KJ887755.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF2AB:07,A,"African cassava mosaic virus isolate CF:CF2AB:07 segment A, complete sequence",2781,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-07,A,cf:cf2ab:07,cf:cf2ab:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-07 || cf:cf2ab:07
KJ887756.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF4AB:07,A,"African cassava mosaic virus isolate CF:CF4AB:07 segment A, complete sequence",2780,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-07,A,cf:cf4ab:07,cf:cf4ab:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-07 || cf:cf4ab:07
KJ887757.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF5AB:07,A,"African cassava mosaic virus isolate CF:CF5AB:07 segment A, complete sequence",2780,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-07,A,cf:cf5ab:07,cf:cf5ab:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-07 || cf:cf5ab:07
KJ887758.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF6AB:07,A,"African cassava mosaic virus isolate CF:CF6AB:07 segment A, complete sequence",2781,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-07,A,cf:cf6ab:07,cf:cf6ab:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-07 || cf:cf6ab:07
KJ887759.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF7AB:07,A,"African cassava mosaic virus isolate CF:CF7AB:07 segment A, complete sequence",2781,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-09,A,cf:cf7ab:07,cf:cf7ab:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-09 || cf:cf7ab:07
KJ887760.1,,Begomovirus manihotis,Begomovirus manihotis,CF:CF7AN:07,A,"African cassava mosaic virus isolate CF:CF7AN:07 segment A, complete sequence",2780,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-09,A,cf:cf7an:07,cf:cf7an:07, || begomovirus manihotis || begomovirus manihotis || complete || central african republic || central african republic || manihot esculenta || 2007-08-09 || cf:cf7an:07
