Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date,Component,Isolate_Clean,Isolate_Pair_Core,Pair_Key
NC_004676,,East African cassava mosaic virus,Begomovirus manihotisafricaense,,DNA B,"East African cassava mosaic virus DNA B, complete sequence",2777,complete,Uganda,Uganda,,,B,,, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || uganda || uganda ||  ||  || 
JF909120,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Grande-Comore:GC47AX3:2009,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Grande-Comore:GC47AX3:2009 segment DNA-A, complete sequence",2801,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009,A,comoros:grande-comore:gc47ax3:2009,comoros:grande-comore:gc47ax3:2009, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc47ax3:2009
JF909121,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Grande-Comore:GC47BZ2:2009,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Grande-Comore:GC47BZ2:2009 segment DNA-A, complete sequence",2801,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009,A,comoros:grande-comore:gc47bz2:2009,comoros:grande-comore:gc47bz2:2009, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc47bz2:2009
JF909131,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Moheli:MO09AR2:2009,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Moheli:MO09AR2:2009 segment DNA-A, complete sequence",2801,complete,Comoros: Moheli,Comoros,Manihot esculenta,2009,A,comoros:moheli:mo09ar2:2009,comoros:moheli:mo09ar2:2009, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: moheli || comoros || manihot esculenta || 2009 || comoros:moheli:mo09ar2:2009
JF909133,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Moheli:MO10BN3:2009,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Moheli:MO10BN3:2009 segment DNA-A, complete sequence",2800,complete,Comoros: Moheli,Comoros,Manihot esculenta,2009,A,comoros:moheli:mo10bn3:2009,comoros:moheli:mo10bn3:2009, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: moheli || comoros || manihot esculenta || 2009 || comoros:moheli:mo10bn3:2009
JF909139,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Moheli:MO15AZ1:2009,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Moheli:MO15AZ1:2009 segment DNA-A, complete sequence",2800,complete,Comoros: Moheli,Comoros,Manihot esculenta,2009,A,comoros:moheli:mo15az1:2009,comoros:moheli:mo15az1:2009, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: moheli || comoros || manihot esculenta || 2009 || comoros:moheli:mo15az1:2009
JF909149,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Moheli:MO29AN3:2009,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Moheli:MO29AN3:2009 segment DNA-A, complete sequence",2801,complete,Comoros: Moheli,Comoros,Manihot esculenta,2009,A,comoros:moheli:mo29an3:2009,comoros:moheli:mo29an3:2009, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: moheli || comoros || manihot esculenta || 2009 || comoros:moheli:mo29an3:2009
JF909150,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Moheli:MO30BY1:2009,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Moheli:MO30BY1:2009 segment DNA-A, complete sequence",2801,complete,Comoros: Moheli,Comoros,Manihot esculenta,2009,A,comoros:moheli:mo30by1:2009,comoros:moheli:mo30by1:2009, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: moheli || comoros || manihot esculenta || 2009 || comoros:moheli:mo30by1:2009
JF909151,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Seychelles:Mahe:SC01B01:2006,DNA-A,"East African cassava mosaic virus-Kenya isolate Seychelles:Mahe:SC01B01:2006 segment DNA-A, complete sequence",2801,complete,Seychelles: Mahe,Seychelles,Manihot esculenta,2006,A,seychelles:mahe:sc01b01:2006,seychelles:mahe:sc01b01:2006, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || seychelles: mahe || seychelles || manihot esculenta || 2006 || seychelles:mahe:sc01b01:2006
JF909152,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Seychelles:Mahe:SC02B07:2006,DNA-A,"East African cassava mosaic virus-Kenya isolate Seychelles:Mahe:SC02B07:2006 segment DNA-A, complete sequence",2801,complete,Seychelles: Mahe,Seychelles,Manihot esculenta,2006,A,seychelles:mahe:sc02b07:2006,seychelles:mahe:sc02b07:2006, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || seychelles: mahe || seychelles || manihot esculenta || 2006 || seychelles:mahe:sc02b07:2006
JF909153,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Seychelles:La Digue:SC03AK1:2009,DNA-A,"East African cassava mosaic virus-Kenya isolate Seychelles:La Digue:SC03AK1:2009 segment DNA-A, complete sequence",2801,complete,Seychelles: La Digue,Seychelles,Manihot esculenta,2009,A,seychelles:la digue:sc03ak1:2009,seychelles:la digue:sc03ak1:2009, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || seychelles: la digue || seychelles || manihot esculenta || 2009 || seychelles:la digue:sc03ak1:2009
JF909154,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Seychelles:La Digue:SC08AX1:2004,DNA-A,"East African cassava mosaic virus-Kenya isolate Seychelles:La Digue:SC08AX1:2004 segment DNA-A, complete sequence",2801,complete,Seychelles: La Digue,Seychelles,Manihot esculenta,2004,A,seychelles:la digue:sc08ax1:2004,seychelles:la digue:sc08ax1:2004, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || seychelles: la digue || seychelles || manihot esculenta || 2004 || seychelles:la digue:sc08ax1:2004
JF909155,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Seychelles:Mahe:SC10AS1:2004,DNA-A,"East African cassava mosaic virus-Kenya isolate Seychelles:Mahe:SC10AS1:2004 segment DNA-A, complete sequence",2802,complete,Seychelles: Mahe,Seychelles,Manihot esculenta,2004,A,seychelles:mahe:sc10as1:2004,seychelles:mahe:sc10as1:2004, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || seychelles: mahe || seychelles || manihot esculenta || 2004 || seychelles:mahe:sc10as1:2004
JF909156,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Seychelles:Mahe:SC12B01:2004,DNA-A,"East African cassava mosaic virus-Kenya isolate Seychelles:Mahe:SC12B01:2004 segment DNA-A, complete sequence",2801,complete,Seychelles: Mahe,Seychelles,Manihot esculenta,2004,A,seychelles:mahe:sc12b01:2004,seychelles:mahe:sc12b01:2004, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || seychelles: mahe || seychelles || manihot esculenta || 2004 || seychelles:mahe:sc12b01:2004
JF909157,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Seychelles:La digue:SC15B16:2004,DNA-A,"East African cassava mosaic virus-Kenya isolate Seychelles:La digue:SC15B16:2004 segment DNA-A, complete sequence",2801,complete,Seychelles: La Digue,Seychelles,Manihot esculenta,2004,A,seychelles:la digue:sc15b16:2004,seychelles:la digue:sc15b16:2004, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || seychelles: la digue || seychelles || manihot esculenta || 2004 || seychelles:la digue:sc15b16:2004
JF909158,,East African cassava mosaic virus,Begomovirus manihotisafricaense,Seychelles:Mahe:SC16B00:2005,DNA-A,"East African cassava mosaic virus isolate Seychelles:Mahe:SC16B00:2005 segment DNA-A, complete sequence",2801,complete,Seychelles: Mahe,Seychelles,Manihot esculenta,2005,A,seychelles:mahe:sc16b00:2005,seychelles:mahe:sc16b00:2005, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || seychelles: mahe || seychelles || manihot esculenta || 2005 || seychelles:mahe:sc16b00:2005
JF909159,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Seychelles:Mahe:SC16B20:2005,DNA-A,"East African cassava mosaic virus-Kenya isolate Seychelles:Mahe:SC16B20:2005 segment DNA-A, complete sequence",2801,complete,Seychelles: Mahe,Seychelles,Manihot esculenta,2005,A,seychelles:mahe:sc16b20:2005,seychelles:mahe:sc16b20:2005, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || seychelles: mahe || seychelles || manihot esculenta || 2005 || seychelles:mahe:sc16b20:2005
JF909160,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Seychelles:Mahe:SC17B31:2005,DNA-A,"East African cassava mosaic virus-Kenya isolate Seychelles:Mahe:SC17B31:2005 segment DNA-A, complete sequence",2801,complete,Seychelles: Mahe,Seychelles,Manihot esculenta,2005,A,seychelles:mahe:sc17b31:2005,seychelles:mahe:sc17b31:2005, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || seychelles: mahe || seychelles || manihot esculenta || 2005 || seychelles:mahe:sc17b31:2005
JF909161,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Seychelles:Mahe:SC18B32:2005,DNA-A,"East African cassava mosaic virus-Kenya isolate Seychelles:Mahe:SC18B32:2005 segment DNA-A, complete sequence",2801,complete,Seychelles: Mahe,Seychelles,Manihot esculenta,2005,A,seychelles:mahe:sc18b32:2005,seychelles:mahe:sc18b32:2005, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || seychelles: mahe || seychelles || manihot esculenta || 2005 || seychelles:mahe:sc18b32:2005
JF909162,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Seychelles:Praslin:SC22B15:2009,DNA-A,"East African cassava mosaic virus-Kenya isolate Seychelles:Praslin:SC22B15:2009 segment DNA-A, complete sequence",2801,complete,Seychelles: Praslin,Seychelles,Manihot esculenta,2009,A,seychelles:praslin:sc22b15:2009,seychelles:praslin:sc22b15:2009, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || seychelles: praslin || seychelles || manihot esculenta || 2009 || seychelles:praslin:sc22b15:2009
JF909163,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT03B38:2005,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT03B38:2005 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2005,A,comoros:mayotte:yt03b38:2005,comoros:mayotte:yt03b38:2005, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2005 || comoros:mayotte:yt03b38:2005
JF909164,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT03E63:2005,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT03E63:2005 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2005,A,comoros:mayotte:yt03e63:2005,comoros:mayotte:yt03e63:2005, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2005 || comoros:mayotte:yt03e63:2005
JF909165,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT04B41:2005,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT04B41:2005 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2005,A,comoros:mayotte:yt04b41:2005,comoros:mayotte:yt04b41:2005, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2005 || comoros:mayotte:yt04b41:2005
JF909166,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT04E67:2005,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT04E67:2005 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2005,A,comoros:mayotte:yt04e67:2005,comoros:mayotte:yt04e67:2005, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2005 || comoros:mayotte:yt04e67:2005
JF909167,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT07B51:2005,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT07B51:2005 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2005,A,comoros:mayotte:yt07b51:2005,comoros:mayotte:yt07b51:2005, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2005 || comoros:mayotte:yt07b51:2005
JF909168,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT09B65:2005,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT09B65:2005 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2005,A,comoros:mayotte:yt09b65:2005,comoros:mayotte:yt09b65:2005, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2005 || comoros:mayotte:yt09b65:2005
JF909169,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT10B67:2005,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT10B67:2005 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2005,A,comoros:mayotte:yt10b67:2005,comoros:mayotte:yt10b67:2005, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2005 || comoros:mayotte:yt10b67:2005
JF909170,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT11B71:2005,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT11B71:2005 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2005,A,comoros:mayotte:yt11b71:2005,comoros:mayotte:yt11b71:2005, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2005 || comoros:mayotte:yt11b71:2005
JF909171,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT12B76:2005,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT12B76:2005 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2005,A,comoros:mayotte:yt12b76:2005,comoros:mayotte:yt12b76:2005, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2005 || comoros:mayotte:yt12b76:2005
JF909173,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT23B10:2003,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT23B10:2003 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2003,A,comoros:mayotte:yt23b10:2003,comoros:mayotte:yt23b10:2003, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2003 || comoros:mayotte:yt23b10:2003
JF909174,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT24B16:2004,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT24B16:2004 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2004,A,comoros:mayotte:yt24b16:2004,comoros:mayotte:yt24b16:2004, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2004 || comoros:mayotte:yt24b16:2004
JF909175,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT25B20:2003,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT25B20:2003 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2003,A,comoros:mayotte:yt25b20:2003,comoros:mayotte:yt25b20:2003, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2003 || comoros:mayotte:yt25b20:2003
JF909176,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT26B24:2004,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT26B24:2004 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2004,A,comoros:mayotte:yt26b24:2004,comoros:mayotte:yt26b24:2004, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2004 || comoros:mayotte:yt26b24:2004
JF909177,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT27B31:2004,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT27B31:2004 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2004,A,comoros:mayotte:yt27b31:2004,comoros:mayotte:yt27b31:2004, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2004 || comoros:mayotte:yt27b31:2004
JF909178,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT28B34:2004,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT28B34:2004 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2004,A,comoros:mayotte:yt28b34:2004,comoros:mayotte:yt28b34:2004, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2004 || comoros:mayotte:yt28b34:2004
JF909179,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT33B59:2003,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT33B59:2003 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2003,A,comoros:mayotte:yt33b59:2003,comoros:mayotte:yt33b59:2003, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2003 || comoros:mayotte:yt33b59:2003
JF909180,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT34B44:2004,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT34B44:2004 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2004,A,comoros:mayotte:yt34b44:2004,comoros:mayotte:yt34b44:2004, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2004 || comoros:mayotte:yt34b44:2004
JF909181,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT36B00:2004,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT36B00:2004 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2004,A,comoros:mayotte:yt36b00:2004,comoros:mayotte:yt36b00:2004, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2004 || comoros:mayotte:yt36b00:2004
JF909182,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT36B49:2004,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT36B49:2004 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2004,A,comoros:mayotte:yt36b49:2004,comoros:mayotte:yt36b49:2004, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2004 || comoros:mayotte:yt36b49:2004
JF909183,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT43B01:2008,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT43B01:2008 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2008,A,comoros:mayotte:yt43b01:2008,comoros:mayotte:yt43b01:2008, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2008 || comoros:mayotte:yt43b01:2008
JF909184,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT43E01:2008,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT43E01:2008 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2008,A,comoros:mayotte:yt43e01:2008,comoros:mayotte:yt43e01:2008, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2008 || comoros:mayotte:yt43e01:2008
JF909185,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT44B01:2008,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT44B01:2008 segment DNA-A, complete sequence",2800,complete,Mayotte,Mayotte,Manihot esculenta,2008,A,comoros:mayotte:yt44b01:2008,comoros:mayotte:yt44b01:2008, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2008 || comoros:mayotte:yt44b01:2008
JF909188,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT48E15:2008,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT48E15:2008 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2008,A,comoros:mayotte:yt48e15:2008,comoros:mayotte:yt48e15:2008, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2008 || comoros:mayotte:yt48e15:2008
JF909189,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT49A66:2008,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT49A66:2008 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2008,A,comoros:mayotte:yt49a66:2008,comoros:mayotte:yt49a66:2008, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2008 || comoros:mayotte:yt49a66:2008
JF909190,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT49E10:2008,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT49E10:2008 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2008,A,comoros:mayotte:yt49e10:2008,comoros:mayotte:yt49e10:2008, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2008 || comoros:mayotte:yt49e10:2008
JF909191,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT50B12:2008,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT50B12:2008 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2008,A,comoros:mayotte:yt50b12:2008,comoros:mayotte:yt50b12:2008, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2008 || comoros:mayotte:yt50b12:2008
JF909192,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT51B14:2008,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT51B14:2008 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2008,A,comoros:mayotte:yt51b14:2008,comoros:mayotte:yt51b14:2008, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2008 || comoros:mayotte:yt51b14:2008
JF909193,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT55B06:2008,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT55B06:2008 segment DNA-A, complete sequence",2799,complete,Mayotte,Mayotte,Manihot esculenta,2008,A,comoros:mayotte:yt55b06:2008,comoros:mayotte:yt55b06:2008, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2008 || comoros:mayotte:yt55b06:2008
JF909194,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT57E10:2008,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT57E10:2008 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2008,A,comoros:mayotte:yt57e10:2008,comoros:mayotte:yt57e10:2008, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2008 || comoros:mayotte:yt57e10:2008
JF909195,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT59B30:2008,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT59B30:2008 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2008,A,comoros:mayotte:yt59b30:2008,comoros:mayotte:yt59b30:2008, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2008 || comoros:mayotte:yt59b30:2008
JF909196,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT59E19:2008,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT59E19:2008 segment DNA-A, complete sequence",2801,complete,Mayotte,Mayotte,Manihot esculenta,2008,A,comoros:mayotte:yt59e19:2008,comoros:mayotte:yt59e19:2008, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2008 || comoros:mayotte:yt59e19:2008
JF909198,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Mayotte:YT67B08:2009,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Mayotte:YT67B08:2009 segment DNA-A, complete sequence",2800,complete,Mayotte,Mayotte,Manihot esculenta,2009,A,comoros:mayotte:yt67b08:2009,comoros:mayotte:yt67b08:2009, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || mayotte || mayotte || manihot esculenta || 2009 || comoros:mayotte:yt67b08:2009
JN053432,,East African cassava mosaic virus-Uganda2 Severe,Begomovirus manihotisafricaense,B2J5,DNA-A,"East African cassava mosaic virus-Uganda2 Severe isolate B2J5 segment DNA-A, complete sequence",2799,complete,Kenya,Kenya,Jatropha curcas,2009-08-29,A,b2j5,b2j5, || east african cassava mosaic virus-uganda2 severe || begomovirus manihotisafricaense || complete || kenya || kenya || jatropha curcas || 2009-08-29 || b2j5
