Accession,GenBank_RefSeq,Assembly,SRA_Accession,BioSample,BioProject,Organism_Name,Species,Genus,Family,Genotype,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date,Release_Date,Molecule_type,Component,Isolate_Clean,Isolate_Pair_Core,Pair_Key
NC_011583.1,RefSeq,GCF_000882315.1,,,PRJNA485481,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,EACMKV-[K298],DNA A,"East African cassava mosaic Kenya virus DNA A, complete genome",2797,complete,"Kenya:Machakos, Mitaboni/Ngiini",Kenya,,Manihot esculenta,,"Bull,S.E., Briddon,R.W., Sserubombwe,W.S., Ngugi,K., Markham,P.G., Stanley,J.","National Center for Biotechnology Information, NIH",USA,1,,2008-11-14,ssDNA(+/-),A,eacmkv-[k298],eacmkv-[k298]," || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || kenya:machakos, mitaboni/ngiini || kenya || manihot esculenta ||  || eacmkv-[k298]"
JF909104.1,GenBank,set:ff0595a2fc7955f15a7f6de90cb1dde9ec60aba3,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC29AK1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC29AK1:2009 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc29ak1:2009,comoros:grande-comore:gc29ak1:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc29ak1:2009
JF909105.1,GenBank,set:00e03fb3c5dff821bb5b48e36fbd2b5ada12e93b,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC29BG1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC29BG1:2009 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc29bg1:2009,comoros:grande-comore:gc29bg1:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc29bg1:2009
JF909107.1,GenBank,set:a10d5d14a6cdf6ec4fdeb3b8b3a060a70ea18f23,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC31AB2:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC31AB2:2009 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc31ab2:2009,comoros:grande-comore:gc31ab2:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc31ab2:2009
JF909108.1,GenBank,set:2bfb468b75c8d0016da301d0c7f652770691fff7,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC31BL1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC31BL1:2009 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc31bl1:2009,comoros:grande-comore:gc31bl1:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc31bl1:2009
JF909109.1,GenBank,set:97099df55ce7fd73481487b0bbc8fd49c9a719b9,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC31BT1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC31BT1:2009 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc31bt1:2009,comoros:grande-comore:gc31bt1:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc31bt1:2009
JF909112.1,GenBank,set:adf29022f5e47e2b7241b1399d71e9213e4768a3,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC33BD2:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC33BD2:2009 segment DNA-A, complete sequence",2798,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc33bd2:2009,comoros:grande-comore:gc33bd2:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc33bd2:2009
JF909113.1,GenBank,set:93cd75a3a72a14bfe33f24dec41154b838ef3eaf,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC33BN1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC33BN1:2009 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc33bn1:2009,comoros:grande-comore:gc33bn1:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc33bn1:2009
JF909114.1,GenBank,set:d46751392eb335a2d01e2c368cd6f8eff711430c,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC35BC1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC35BC1:2009 segment DNA-A, complete sequence",2800,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc35bc1:2009,comoros:grande-comore:gc35bc1:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc35bc1:2009
JF909116.1,GenBank,set:dac8cf3584c592f1d1eabf8c5c4250e71e93e089,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC40BR2:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC40BR2:2009 segment DNA-A, complete sequence",2798,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc40br2:2009,comoros:grande-comore:gc40br2:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc40br2:2009
JF909122.1,GenBank,set:c4eda50b261e80dd79d08a4b443475bb267ec104,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC49AI4:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC49AI4:2009 segment DNA-A, complete sequence",2798,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc49ai4:2009,comoros:grande-comore:gc49ai4:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc49ai4:2009
JF909123.1,GenBank,set:ef23b1ad76d82a55bce9445ff2af6f1b9ef87797,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC49BE3:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC49BE3:2009 segment DNA-A, complete sequence",2797,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc49be3:2009,comoros:grande-comore:gc49be3:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc49be3:2009
JF909124.1,GenBank,set:d67e7a45f9f5f3e3b169a89803a68910d769634a,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC49BO2:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC49BO2:2009 segment DNA-A, complete sequence",2797,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc49bo2:2009,comoros:grande-comore:gc49bo2:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc49bo2:2009
JF909125.1,GenBank,set:2701ab49786f3ff667d1f00c4f78722c30ac2241,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC59BH1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC59BH1:2009 segment DNA-A, complete sequence",2798,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc59bh1:2009,comoros:grande-comore:gc59bh1:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc59bh1:2009
JF909126.1,GenBank,set:97977fcc7cde0c885661da3ae9a7c9ca2873d1e7,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC60BO1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC60BO1:2009 segment DNA-A, complete sequence",2798,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc60bo1:2009,comoros:grande-comore:gc60bo1:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc60bo1:2009
JF909127.1,GenBank,set:b6fb33809851c48cb74f85adad832f4d55b3eb0f,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Moheli:MO02B00:2005,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Moheli:MO02B00:2005 segment DNA-A, complete sequence",2798,complete,Comoros: Moheli,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2005,2012-06-20,ssDNA(+/-),A,comoros:moheli:mo02b00:2005,comoros:moheli:mo02b00:2005, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: moheli || comoros || manihot esculenta || 2005 || comoros:moheli:mo02b00:2005
JF909128.1,GenBank,set:98c21b72460417cd1c183877d82b33107f896438,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Moheli:MO04AF2:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Moheli:MO04AF2:2009 segment DNA-A, complete sequence",2798,complete,Comoros: Moheli,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:moheli:mo04af2:2009,comoros:moheli:mo04af2:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: moheli || comoros || manihot esculenta || 2009 || comoros:moheli:mo04af2:2009
JF909129.1,GenBank,set:7d738ea8e689f84407fa2530520f42dcde2a1578,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Moheli:MO05AK2:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Moheli:MO05AK2:2009 segment DNA-A, complete sequence",2798,complete,Comoros: Moheli,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:moheli:mo05ak2:2009,comoros:moheli:mo05ak2:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: moheli || comoros || manihot esculenta || 2009 || comoros:moheli:mo05ak2:2009
JF909130.1,GenBank,set:911083eb3089f9b94e4c5f0e167c77b9bab8ae22,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Moheli:MO05BD3:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Moheli:MO05BD3:2009 segment DNA-A, complete sequence",2798,complete,Comoros: Moheli,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:moheli:mo05bd3:2009,comoros:moheli:mo05bd3:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: moheli || comoros || manihot esculenta || 2009 || comoros:moheli:mo05bd3:2009
JF909132.1,GenBank,set:8aab9b0ba077db7daf73fa532ce0a2840177a986,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Moheli:MO09BI3:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Moheli:MO09BI3:2009 segment DNA-A, complete sequence",2799,complete,Comoros: Moheli,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:moheli:mo09bi3:2009,comoros:moheli:mo09bi3:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: moheli || comoros || manihot esculenta || 2009 || comoros:moheli:mo09bi3:2009
JF909134.1,GenBank,set:995f6cbbc573840547006963b32872e9e66ee042,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Moheli:MO11BP3:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Moheli:MO11BP3:2009 segment DNA-A, complete sequence",2798,complete,Comoros: Moheli,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:moheli:mo11bp3:2009,comoros:moheli:mo11bp3:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: moheli || comoros || manihot esculenta || 2009 || comoros:moheli:mo11bp3:2009
JF909135.1,GenBank,set:6b6927e9e47489a7d7f87722eae3f96db0cad52c,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Moheli:MO12BS3:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Moheli:MO12BS3:2009 segment DNA-A, complete sequence",2798,complete,Comoros: Moheli,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:moheli:mo12bs3:2009,comoros:moheli:mo12bs3:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: moheli || comoros || manihot esculenta || 2009 || comoros:moheli:mo12bs3:2009
JF909136.1,GenBank,set:524e45c80966ac473c5895174c7a9f7f35da71dd,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Moheli:MO13AA3:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Moheli:MO13AA3:2009 segment DNA-A, complete sequence",2798,complete,Comoros: Moheli,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:moheli:mo13aa3:2009,comoros:moheli:mo13aa3:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: moheli || comoros || manihot esculenta || 2009 || comoros:moheli:mo13aa3:2009
JF909137.1,GenBank,set:c3470ed7dc85ad5df220520636ac542a52a9f2a6,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Moheli:MO13AY2:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Moheli:MO13AY2:2009 segment DNA-A, complete sequence",2798,complete,Comoros: Moheli,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:moheli:mo13ay2:2009,comoros:moheli:mo13ay2:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: moheli || comoros || manihot esculenta || 2009 || comoros:moheli:mo13ay2:2009
JF909138.1,GenBank,set:17f5c6ad74504a833a4cbd566e86da4e0c90f32b,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Moheli:MO13BW3:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Moheli:MO13BW3:2009 segment DNA-A, complete sequence",2798,complete,Comoros: Moheli,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:moheli:mo13bw3:2009,comoros:moheli:mo13bw3:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: moheli || comoros || manihot esculenta || 2009 || comoros:moheli:mo13bw3:2009
JF909140.1,GenBank,set:37fd754dcd2fde651c35beac53dcd02119eefc7d,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Moheli:MO16AI2:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Moheli:MO16AI2:2009 segment DNA-A, complete sequence",2796,complete,Comoros: Moheli,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:moheli:mo16ai2:2009,comoros:moheli:mo16ai2:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: moheli || comoros || manihot esculenta || 2009 || comoros:moheli:mo16ai2:2009
JF909141.1,GenBank,set:06e5594fdd91a3bc00a72b0fc0153cf8d62b0b5f,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Moheli:MO16BF1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Moheli:MO16BF1:2009 segment DNA-A, complete sequence",2796,complete,Comoros: Moheli,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:moheli:mo16bf1:2009,comoros:moheli:mo16bf1:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: moheli || comoros || manihot esculenta || 2009 || comoros:moheli:mo16bf1:2009
JF909142.1,GenBank,set:882c3279dc90bab0abbc4ae826c72ae4d82be094,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Moheli:MO17AL2:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Moheli:MO17AL2:2009 segment DNA-A, complete sequence",2797,complete,Comoros: Moheli,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:moheli:mo17al2:2009,comoros:moheli:mo17al2:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: moheli || comoros || manihot esculenta || 2009 || comoros:moheli:mo17al2:2009
